ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1438.961213473168,-1111.3899827136725,3991.2459733142464,1438.961213473168,1438.961213473168,68.23170472573086,68.23170472573086,68.23170472573086,317.22282296027214,317.22282296027214,317.22282296027214,-248.9911182345413,-248.9911182345413,-248.9911182345413,0.0,0.0,0.0,1507.192918198899
2014-01-04,1439.1528554346883,-1686.0497087715266,3578.6426995724423,1439.1528554346883,1439.1528554346883,-363.0727844250245,-363.0727844250245,-363.0727844250245,-1.7814044895393524,-1.7814044895393524,-1.7814044895393524,-361.29137993548505,-361.29137993548505,-361.29137993548505,0.0,0.0,0.0,1076.0800710096637
2014-01-05,1439.3444973962085,-1351.7701455794556,3813.439281578365,1439.3444973962085,1439.3444973962085,-319.9266327344453,-319.9266327344453,-319.9266327344453,145.78373138473364,145.78373138473364,145.78373138473364,-465.71036411917896,-465.71036411917896,-465.71036411917896,0.0,0.0,0.0,1119.4178646617631
2014-01-06,1439.5361393577286,-1455.4266872139956,3631.598626846087,1439.5361393577286,1439.5361393577286,-159.73756914213263,-159.73756914213263,-159.73756914213263,401.1083336377591,401.1083336377591,401.1083336377591,-560.8459027798917,-560.8459027798917,-560.8459027798917,0.0,0.0,0.0,1279.798570215596
2014-01-07,1439.727781319249,-1948.113467247644,3282.875081737891,1439.727781319249,1439.727781319249,-744.2175169634589,-744.2175169634589,-744.2175169634589,-98.72540762560644,-98.72540762560644,-98.72540762560644,-645.4921093378525,-645.4921093378525,-645.4921093378525,0.0,0.0,0.0,695.5102643557901
2014-01-09,1440.1110652422894,-1949.2381073590504,3176.622926084371,1440.1110652422894,1440.1110652422894,-672.6787342908483,-672.6787342908483,-672.6787342908483,106.9528140436724,106.9528140436724,106.9528140436724,-779.6315483345205,-779.6315483345205,-779.6315483345205,0.0,0.0,0.0,767.4323309514411
2014-01-10,1440.3027072038094,-1798.2606333649974,3382.508263435396,1440.3027072038094,1440.3027072038094,-510.68912514722825,-510.68912514722825,-510.68912514722825,317.2228229606891,317.2228229606891,317.2228229606891,-827.9119481079174,-827.9119481079174,-827.9119481079174,0.0,0.0,0.0,929.6135820565812
2014-01-11,1440.4943491653296,-2122.4757284833377,3144.323338750701,1440.4943491653296,1440.4943491653296,-865.0855513791305,-865.0855513791305,-865.0855513791305,-1.78140448906689,-1.78140448906689,-1.78140448906689,-863.3041468900636,-863.3041468900636,-863.3041468900636,0.0,0.0,0.0,575.4087977861991
2014-01-13,1440.87763308837,-1775.871746349758,3773.4524583891193,1440.87763308837,1440.87763308837,-494.88062659960724,-494.88062659960724,-494.88062659960724,401.10833363748606,401.10833363748606,401.10833363748606,-895.9889602370931,-895.9889602370931,-895.9889602370931,0.0,0.0,0.0,945.9970064887627
2014-01-14,1441.0692750498904,-2154.309472783946,3206.446873674328,1441.0692750498904,1441.0692750498904,-992.9657872452874,-992.9657872452874,-992.9657872452874,-98.72540762666866,-98.72540762666866,-98.72540762666866,-894.2403796186187,-894.2403796186187,-894.2403796186187,0.0,0.0,0.0,448.103487804603
